,group_10yr,population,sex,year,zip
738,30 to 39,5237,Female,2030,91910
739,40 to 49,5294,Female,2030,91910
740,50 to 59,5178,Female,2030,91910
741,60 to 69,5272,Female,2030,91910
742,70 to 79,4231,Female,2030,91910
743,80+,2701,Female,2030,91910
744,Total Population,42306,Female,2030,91910
745,Under 10,5162,Male,2030,91910
746,10 to 19,4951,Male,2030,91910
747,20 to 29,5298,Male,2030,91910
748,30 to 39,5298,Male,2030,91910
749,40 to 49,4525,Male,2030,91910
750,50 to 59,4461,Male,2030,91910
751,60 to 69,4581,Male,2030,91910
752,70 to 79,3357,Male,2030,91910
753,80+,1758,Male,2030,91910
754,Total Population,39391,Male,2030,91910
755,Total Population,81697,Total,2030,91910
756,Under 10,4847,Female,2035,91910
757,10 to 19,5021,Female,2035,91910
758,20 to 29,4936,Female,2035,91910
759,30 to 39,5155,Female,2035,91910
760,40 to 49,5915,Female,2035,91910
761,50 to 59,5551,Female,2035,91910
762,60 to 69,5409,Female,2035,91910
763,70 to 79,4841,Female,2035,91910
764,80+,3428,Female,2035,91910
765,Total Population,45103,Female,2035,91910
766,Under 10,5278,Male,2035,91910
767,10 to 19,5231,Male,2035,91910
768,20 to 29,5322,Male,2035,91910
769,30 to 39,5333,Male,2035,91910
770,40 to 49,5106,Male,2035,91910
771,50 to 59,4759,Male,2035,91910
772,60 to 69,4525,Male,2035,91910
773,70 to 79,3877,Male,2035,91910
774,80+,2307,Male,2035,91910
775,Total Population,41738,Male,2035,91910
776,Total Population,86841,Total,2035,91910
777,Under 10,4794,Female,2040,91910
778,10 to 19,5107,Female,2040,91910
779,20 to 29,5029,Female,2040,91910
780,30 to 39,5034,Female,2040,91910
781,40 to 49,6161,Female,2040,91910
782,50 to 59,6006,Female,2040,91910
783,60 to 69,5433,Female,2040,91910
784,70 to 79,4963,Female,2040,91910
785,80+,4181,Female,2040,91910
786,Total Population,46708,Female,2040,91910
787,Under 10,5254,Male,2040,91910
788,10 to 19,5307,Male,2040,91910
789,20 to 29,5395,Male,2040,91910
790,30 to 39,5181,Male,2040,91910
791,40 to 49,5543,Male,2040,91910
792,50 to 59,5085,Male,2040,91910
793,60 to 69,4492,Male,2040,91910
794,70 to 79,4018,Male,2040,91910
795,80+,2831,Male,2040,91910
796,Total Population,43106,Male,2040,91910
797,Total Population,89814,Total,2040,91910
798,Under 10,4672,Female,2045,91910
799,10 to 19,5088,Female,2045,91910
800,20 to 29,5064,Female,2045,91910
801,30 to 39,4800,Female,2045,91910
802,40 to 49,5773,Female,2045,91910
803,50 to 59,6486,Female,2045,91910
804,60 to 69,5652,Female,2045,91910
805,70 to 79,4905,Female,2045,91910
806,80+,4701,Female,2045,91910
807,Total Population,47141,Female,2045,91910
808,Under 10,5124,Male,2045,91910
809,10 to 19,5305,Male,2045,91910
810,20 to 29,5364,Male,2045,91910
811,30 to 39,4993,Male,2045,91910
812,40 to 49,5361,Male,2045,91910
813,50 to 59,5562,Male,2045,91910
814,60 to 69,4676,Male,2045,91910
815,70 to 79,3910,Male,2045,91910
816,80+,3159,Male,2045,91910
817,Total Population,43454,Male,2045,91910
818,Total Population,90595,Total,2045,91910
819,Under 10,4645,Female,2050,91910
820,10 to 19,5172,Female,2050,91910
821,20 to 29,5030,Female,2050,91910
822,30 to 39,4788,Female,2050,91910
823,40 to 49,5570,Female,2050,91910
824,50 to 59,6723,Female,2050,91910
825,60 to 69,6169,Female,2050,91910
826,70 to 79,4955,Female,2050,91910
827,80+,4988,Female,2050,91910
828,Total Population,48040,Female,2050,91910
829,Under 10,5169,Male,2050,91910
830,10 to 19,5382,Male,2050,91910
831,20 to 29,5424,Male,2050,91910
832,30 to 39,4987,Male,2050,91910
833,40 to 49,5208,Male,2050,91910
834,50 to 59,6078,Male,2050,91910
835,60 to 69,5026,Male,2050,91910
836,70 to 79,3903,Male,2050,91910
837,80+,3304,Male,2050,91910
838,Total Population,44481,Male,2050,91910
839,Total Population,92521,Total,2050,91910
840,Under 10,6043,Female,2012,91911
841,10 to 19,6889,Female,2012,91911
842,20 to 29,6278,Female,2012,91911
843,30 to 39,5475,Female,2012,91911
844,40 to 49,5861,Female,2012,91911
845,50 to 59,5414,Female,2012,91911
846,60 to 69,3486,Female,2012,91911
847,70 to 79,2470,Female,2012,91911
848,80+,1859,Female,2012,91911
849,Total Population,43775,Female,2012,91911
850,Under 10,6030,Male,2012,91911
851,10 to 19,7153,Male,2012,91911
852,20 to 29,6314,Male,2012,91911
853,30 to 39,5104,Male,2012,91911
854,40 to 49,5416,Male,2012,91911
855,50 to 59,4915,Male,2012,91911
856,60 to 69,2698,Male,2012,91911
857,70 to 79,1606,Male,2012,91911
858,80+,1309,Male,2012,91911
859,Total Population,40545,Male,2012,91911
860,Total Population,84320,Total,2012,91911
861,Under 10,6187,Female,2020,91911
862,10 to 19,5722,Female,2020,91911
863,20 to 29,6107,Female,2020,91911
864,30 to 39,5307,Female,2020,91911
865,40 to 49,5294,Female,2020,91911
866,50 to 59,5763,Female,2020,91911
867,60 to 69,4677,Female,2020,91911
868,70 to 79,3179,Female,2020,91911
869,80+,1952,Female,2020,91911
870,Total Population,44188,Female,2020,91911
871,Under 10,6239,Male,2020,91911
872,10 to 19,6060,Male,2020,91911
873,20 to 29,6566,Male,2020,91911
874,30 to 39,5131,Male,2020,91911
875,40 to 49,4820,Male,2020,91911
876,50 to 59,5183,Male,2020,91911
877,60 to 69,3691,Male,2020,91911
878,70 to 79,2267,Male,2020,91911
879,80+,1309,Male,2020,91911
880,Total Population,41266,Male,2020,91911
881,Total Population,85454,Total,2020,91911
882,Under 10,6139,Female,2025,91911
883,10 to 19,5376,Female,2025,91911
884,20 to 29,5621,Female,2025,91911
885,30 to 39,5526,Female,2025,91911
886,40 to 49,5267,Female,2025,91911
887,50 to 59,5607,Female,2025,91911
888,60 to 69,5136,Female,2025,91911
889,70 to 79,3826,Female,2025,91911
890,80+,2190,Female,2025,91911
891,Total Population,44688,Female,2025,91911
892,Under 10,6171,Male,2025,91911
893,10 to 19,5683,Male,2025,91911
894,20 to 29,6192,Male,2025,91911
895,30 to 39,5352,Male,2025,91911
896,40 to 49,4828,Male,2025,91911
897,50 to 59,4865,Male,2025,91911
898,60 to 69,4197,Male,2025,91911
899,70 to 79,2875,Male,2025,91911
900,80+,1397,Male,2025,91911
901,Total Population,41560,Male,2025,91911
902,Total Population,86248,Total,2025,91911
903,Under 10,5968,Female,2030,91911
904,10 to 19,5241,Female,2030,91911
905,20 to 29,5281,Female,2030,91911
906,30 to 39,5696,Female,2030,91911
907,40 to 49,5476,Female,2030,91911
908,50 to 59,5454,Female,2030,91911
909,60 to 69,5226,Female,2030,91911
910,70 to 79,4516,Female,2030,91911
911,80+,2555,Female,2030,91911
912,Total Population,45413,Female,2030,91911
913,Under 10,5998,Male,2030,91911
914,10 to 19,5626,Male,2030,91911
915,20 to 29,5836,Male,2030,91911
916,30 to 39,5577,Male,2030,91911
917,40 to 49,4988,Male,2030,91911
918,50 to 59,4584,Male,2030,91911
919,60 to 69,4198,Male,2030,91911
920,70 to 79,3383,Male,2030,91911
921,80+,1795,Male,2030,91911
922,Total Population,41985,Male,2030,91911
923,Total Population,87398,Total,2030,91911
924,Under 10,5576,Female,2035,91911
925,10 to 19,5318,Female,2035,91911
926,20 to 29,5015,Female,2035,91911
927,30 to 39,5307,Female,2035,91911
928,40 to 49,5877,Female,2035,91911
929,50 to 59,5439,Female,2035,91911
930,60 to 69,5087,Female,2035,91911
931,70 to 79,4835,Female,2035,91911
932,80+,3095,Female,2035,91911
933,Total Population,45549,Female,2035,91911
934,Under 10,5650,Male,2035,91911
935,10 to 19,5716,Male,2035,91911
936,20 to 29,5420,Male,2035,91911
937,30 to 39,5364,Male,2035,91911
938,40 to 49,5248,Male,2035,91911
939,50 to 59,4633,Male,2035,91911
940,60 to 69,3959,Male,2035,91911
941,70 to 79,3761,Male,2035,91911
942,80+,2241,Male,2035,91911
943,Total Population,41992,Male,2035,91911
944,Total Population,87541,Total,2035,91911
945,Under 10,5407,Female,2040,91911
946,10 to 19,5416,Female,2040,91911
947,20 to 29,5116,Female,2040,91911
948,30 to 39,5166,Female,2040,91911
949,40 to 49,6174,Female,2040,91911
950,50 to 59,5948,Female,2040,91911
951,60 to 69,5078,Female,2040,91911
952,70 to 79,5047,Female,2040,91911
953,80+,3778,Female,2040,91911
954,Total Population,47130,Female,2040,91911
955,Under 10,5592,Male,2040,91911
956,10 to 19,5761,Male,2040,91911
957,20 to 29,5560,Male,2040,91911
958,30 to 39,5186,Male,2040,91911
959,40 to 49,5759,Male,2040,91911
960,50 to 59,4966,Male,2040,91911
961,60 to 69,3857,Male,2040,91911
962,70 to 79,3975,Male,2040,91911
963,80+,2787,Male,2040,91911
964,Total Population,43443,Male,2040,91911
965,Total Population,90573,Total,2040,91911
966,Under 10,5299,Female,2045,91911
967,10 to 19,5408,Female,2045,91911
968,20 to 29,5151,Female,2045,91911
969,30 to 39,4947,Female,2045,91911
970,40 to 49,5942,Female,2045,91911
971,50 to 59,6522,Female,2045,91911
972,60 to 69,5267,Female,2045,91911
973,70 to 79,5100,Female,2045,91911
974,80+,4313,Female,2045,91911
975,Total Population,47949,Female,2045,91911
976,Under 10,5520,Male,2045,91911
977,10 to 19,5819,Male,2045,91911
978,20 to 29,5473,Male,2045,91911
979,30 to 39,4949,Male,2045,91911
980,40 to 49,5700,Male,2045,91911
981,50 to 59,5505,Male,2045,91911
982,60 to 69,4146,Male,2045,91911
983,70 to 79,3852,Male,2045,91911
984,80+,3201,Male,2045,91911
985,Total Population,44165,Male,2045,91911
986,Total Population,92114,Total,2045,91911
987,Under 10,5291,Female,2050,91911
988,10 to 19,5563,Female,2050,91911
989,20 to 29,5217,Female,2050,91911
990,30 to 39,4869,Female,2050,91911
991,40 to 49,5665,Female,2050,91911
992,50 to 59,6961,Female,2050,91911
993,60 to 69,5819,Female,2050,91911
994,70 to 79,5109,Female,2050,91911
995,80+,4619,Female,2050,91911
996,Total Population,49113,Female,2050,91911
997,Under 10,5510,Male,2050,91911
998,10 to 19,5928,Male,2050,91911
999,20 to 29,5593,Male,2050,91911
1000,30 to 39,4943,Male,2050,91911
1001,40 to 49,5496,Male,2050,91911
1002,50 to 59,6121,Male,2050,91911
1003,60 to 69,4427,Male,2050,91911
1004,70 to 79,3814,Male,2050,91911
1005,80+,3458,Male,2050,91911
1006,Total Population,45290,Male,2050,91911
1007,Total Population,94403,Total,2050,91911
1008,Under 10,3188,Female,2012,91913
1009,10 to 19,3491,Female,2012,91913
1010,20 to 29,2708,Female,2012,91913
1011,30 to 39,3622,Female,2012,91913
1012,40 to 49,3579,Female,2012,91913
1013,50 to 59,2521,Female,2012,91913
1014,60 to 69,1444,Female,2012,91913
1015,70 to 79,771,Female,2012,91913
1016,80+,477,Female,2012,91913
1017,Total Population,21801,Female,2012,91913
1018,Under 10,3274,Male,2012,91913
1019,10 to 19,3906,Male,2012,91913
1020,20 to 29,2584,Male,2012,91913
1021,30 to 39,3098,Male,2012,91913
1022,40 to 49,3215,Male,2012,91913
1023,50 to 59,2263,Male,2012,91913
1024,60 to 69,1204,Male,2012,91913
1025,70 to 79,600,Male,2012,91913
1026,80+,261,Male,2012,91913
1027,Total Population,20405,Male,2012,91913
1028,Total Population,42206,Total,2012,91913
1029,Under 10,4810,Female,2020,91913
1030,10 to 19,4218,Female,2020,91913
1031,20 to 29,3826,Female,2020,91913
1032,30 to 39,5179,Female,2020,91913
1033,40 to 49,4526,Female,2020,91913
1034,50 to 59,3678,Female,2020,91913
1035,60 to 69,2685,Female,2020,91913
1036,70 to 79,1413,Female,2020,91913
1037,80+,777,Female,2020,91913
1038,Total Population,31112,Female,2020,91913
1039,Under 10,4957,Male,2020,91913
1040,10 to 19,4549,Male,2020,91913
1041,20 to 29,3890,Male,2020,91913
1042,30 to 39,4438,Male,2020,91913
1043,40 to 49,4013,Male,2020,91913
1044,50 to 59,3413,Male,2020,91913
1045,60 to 69,2288,Male,2020,91913
1046,70 to 79,1077,Male,2020,91913
1047,80+,447,Male,2020,91913
1048,Total Population,29072,Male,2020,91913
1049,Total Population,60184,Total,2020,91913
1050,Under 10,5970,Female,2025,91913
1051,10 to 19,5249,Female,2025,91913
1052,20 to 29,4299,Female,2025,91913
1053,30 to 39,6813,Female,2025,91913
1054,40 to 49,5760,Female,2025,91913
1055,50 to 59,4593,Female,2025,91913
1056,60 to 69,3679,Female,2025,91913
1057,70 to 79,2307,Female,2025,91913
1058,80+,974,Female,2025,91913
1059,Total Population,39644,Female,2025,91913
1060,Under 10,6183,Male,2025,91913
1061,10 to 19,5742,Male,2025,91913
1062,20 to 29,4573,Male,2025,91913
1063,30 to 39,5853,Male,2025,91913
1064,40 to 49,5055,Male,2025,91913
1065,50 to 59,4173,Male,2025,91913
1066,60 to 69,3160,Male,2025,91913
1067,70 to 79,1751,Male,2025,91913
1068,80+,690,Male,2025,91913
1069,Total Population,37180,Male,2025,91913
1070,Total Population,76824,Total,2025,91913
1071,Under 10,5637,Female,2030,91913
1072,10 to 19,5456,Female,2030,91913
1073,20 to 29,4105,Female,2030,91913
1074,30 to 39,6764,Female,2030,91913
1075,40 to 49,6075,Female,2030,91913
1076,50 to 59,4353,Female,2030,91913
1077,60 to 69,3619,Female,2030,91913
1078,70 to 79,2603,Female,2030,91913
1079,80+,1268,Female,2030,91913
1080,Total Population,39880,Female,2030,91913
1081,Under 10,5919,Male,2030,91913
1082,10 to 19,5829,Male,2030,91913
1083,20 to 29,4240,Male,2030,91913
1084,30 to 39,6072,Male,2030,91913
1085,40 to 49,5116,Male,2030,91913
1086,50 to 59,4038,Male,2030,91913
1087,60 to 69,3231,Male,2030,91913
1088,70 to 79,2013,Male,2030,91913
1089,80+,827,Male,2030,91913
1090,Total Population,37285,Male,2030,91913
1091,Total Population,77165,Total,2030,91913
1092,Under 10,5417,Female,2035,91913
1093,10 to 19,5423,Female,2035,91913
1094,20 to 29,4045,Female,2035,91913
1095,30 to 39,6170,Female,2035,91913
1096,40 to 49,6394,Female,2035,91913
1097,50 to 59,4556,Female,2035,91913
1098,60 to 69,3550,Female,2035,91913
1099,70 to 79,2792,Female,2035,91913
1100,80+,1508,Female,2035,91913
1101,Total Population,39855,Female,2035,91913
1102,Under 10,5655,Male,2035,91913
1103,10 to 19,5731,Male,2035,91913
1104,20 to 29,4165,Male,2035,91913
1105,30 to 39,5622,Male,2035,91913
1106,40 to 49,5483,Male,2035,91913
1107,50 to 59,4104,Male,2035,91913
1108,60 to 69,3103,Male,2035,91913
1109,70 to 79,2138,Male,2035,91913
1110,80+,971,Male,2035,91913
1111,Total Population,36972,Male,2035,91913
1112,Total Population,76827,Total,2035,91913
1113,Under 10,5618,Female,2040,91913
1114,10 to 19,5676,Female,2040,91913
1115,20 to 29,4357,Female,2040,91913
1116,30 to 39,6246,Female,2040,91913
1117,40 to 49,6706,Female,2040,91913
1118,50 to 59,5085,Female,2040,91913
1119,60 to 69,3682,Female,2040,91913
1120,70 to 79,3025,Female,2040,91913
1121,80+,1893,Female,2040,91913
1122,Total Population,42288,Female,2040,91913
1123,Under 10,5823,Male,2040,91913
1124,10 to 19,6093,Male,2040,91913
1125,20 to 29,4364,Male,2040,91913
1126,30 to 39,5599,Male,2040,91913
1127,40 to 49,5961,Male,2040,91913
1128,50 to 59,4506,Male,2040,91913
1129,60 to 69,3210,Male,2040,91913
1130,70 to 79,2286,Male,2040,91913
1131,80+,1194,Male,2040,91913
1132,Total Population,39036,Male,2040,91913
1133,Total Population,81324,Total,2040,91913
1134,Under 10,5664,Female,2045,91913
1135,10 to 19,5852,Female,2045,91913
1136,20 to 29,4474,Female,2045,91913
1137,30 to 39,6321,Female,2045,91913
1138,40 to 49,6298,Female,2045,91913
1139,50 to 59,5634,Female,2045,91913
1140,60 to 69,3972,Female,2045,91913
1141,70 to 79,3165,Female,2045,91913
1142,80+,2103,Female,2045,91913
1143,Total Population,43483,Female,2045,91913
1144,Under 10,5912,Male,2045,91913
1145,10 to 19,6221,Male,2045,91913
1146,20 to 29,4610,Male,2045,91913
1147,30 to 39,5580,Male,2045,91913
1148,40 to 49,5815,Male,2045,91913
1149,50 to 59,5030,Male,2045,91913
1150,60 to 69,3326,Male,2045,91913
1151,70 to 79,2351,Male,2045,91913
1152,80+,1359,Male,2045,91913
1153,Total Population,40204,Male,2045,91913
1154,Total Population,83687,Total,2045,91913
1155,Under 10,5562,Female,2050,91913
1156,10 to 19,5832,Female,2050,91913
1157,20 to 29,4429,Female,2050,91913
1158,30 to 39,6266,Female,2050,91913
1159,40 to 49,6109,Female,2050,91913
1160,50 to 59,5565,Female,2050,91913
1161,60 to 69,4170,Female,2050,91913
1162,70 to 79,3167,Female,2050,91913
1163,80+,2234,Female,2050,91913
1164,Total Population,43334,Female,2050,91913
1165,Under 10,5879,Male,2050,91913
1166,10 to 19,6276,Male,2050,91913
1167,20 to 29,4489,Male,2050,91913
1168,30 to 39,5561,Male,2050,91913
1169,40 to 49,5600,Male,2050,91913
1170,50 to 59,5283,Male,2050,91913
1171,60 to 69,3587,Male,2050,91913
1172,70 to 79,2337,Male,2050,91913
1173,80+,1444,Male,2050,91913
1174,Total Population,40456,Male,2050,91913
1175,Total Population,83790,Total,2050,91913
1176,Under 10,1099,Female,2012,91914
1177,10 to 19,1453,Female,2012,91914
1178,20 to 29,858,Female,2012,91914
1179,30 to 39,1090,Female,2012,91914
1180,40 to 49,1481,Female,2012,91914
1181,50 to 59,1120,Female,2012,91914
1182,60 to 69,680,Female,2012,91914
1183,70 to 79,324,Female,2012,91914
1184,80+,244,Female,2012,91914
1185,Total Population,8349,Female,2012,91914
1186,Under 10,1146,Male,2012,91914
1187,10 to 19,1544,Male,2012,91914
1188,20 to 29,903,Male,2012,91914
1189,30 to 39,963,Male,2012,91914
1190,40 to 49,1437,Male,2012,91914
1191,50 to 59,1075,Male,2012,91914
1192,60 to 69,660,Male,2012,91914
1193,70 to 79,286,Male,2012,91914
1194,80+,154,Male,2012,91914
1195,Total Population,8168,Male,2012,91914
1196,Total Population,16517,Total,2012,91914
1197,Under 10,1245,Female,2020,91914
1198,10 to 19,1297,Female,2020,91914
1199,20 to 29,914,Female,2020,91914
1200,30 to 39,1155,Female,2020,91914
1201,40 to 49,1578,Female,2020,91914
1202,50 to 59,1418,Female,2020,91914
1203,60 to 69,1170,Female,2020,91914
1204,70 to 79,583,Female,2020,91914
1205,80+,320,Female,2020,91914
1206,Total Population,9680,Female,2020,91914
1207,Under 10,1513,Male,2020,91914
1208,10 to 19,1583,Male,2020,91914
1209,20 to 29,1039,Male,2020,91914
1210,30 to 39,945,Male,2020,91914
1211,40 to 49,1350,Male,2020,91914
1212,50 to 59,1234,Male,2020,91914
1213,60 to 69,1116,Male,2020,91914
1214,70 to 79,524,Male,2020,91914
1215,80+,220,Male,2020,91914
1216,Total Population,9524,Male,2020,91914
1217,Total Population,19204,Total,2020,91914
1218,Under 10,1191,Female,2025,91914
1219,10 to 19,1334,Female,2025,91914
1220,20 to 29,883,Female,2025,91914
1221,30 to 39,1153,Female,2025,91914
1222,40 to 49,1575,Female,2025,91914
1223,50 to 59,1430,Female,2025,91914
1224,60 to 69,1305,Female,2025,91914
1225,70 to 79,818,Female,2025,91914
1226,80+,378,Female,2025,91914
1227,Total Population,10067,Female,2025,91914
1228,Under 10,1492,Male,2025,91914
1229,10 to 19,1561,Male,2025,91914
1230,20 to 29,982,Male,2025,91914
1231,30 to 39,936,Male,2025,91914
1232,40 to 49,1392,Male,2025,91914
1233,50 to 59,1259,Male,2025,91914
1234,60 to 69,1156,Male,2025,91914
1235,70 to 79,768,Male,2025,91914
1236,80+,268,Male,2025,91914
1237,Total Population,9814,Male,2025,91914
1238,Total Population,19881,Total,2025,91914
1239,Under 10,1103,Female,2030,91914
1240,10 to 19,1479,Female,2030,91914
1241,20 to 29,886,Female,2030,91914
1242,30 to 39,1140,Female,2030,91914
1243,40 to 49,1755,Female,2030,91914
1244,50 to 59,1412,Female,2030,91914
1245,60 to 69,1384,Female,2030,91914
1246,70 to 79,1000,Female,2030,91914
1247,80+,484,Female,2030,91914
1248,Total Population,10643,Female,2030,91914
1249,Under 10,1467,Male,2030,91914
1250,10 to 19,1572,Male,2030,91914
1251,20 to 29,929,Male,2030,91914
1252,30 to 39,1019,Male,2030,91914
1253,40 to 49,1543,Male,2030,91914
1254,50 to 59,1236,Male,2030,91914
1255,60 to 69,1192,Male,2030,91914
1256,70 to 79,881,Male,2030,91914
1257,80+,346,Male,2030,91914
1258,Total Population,10185,Male,2030,91914
1259,Total Population,20828,Total,2030,91914
1260,Under 10,1085,Female,2035,91914
1261,10 to 19,1426,Female,2035,91914
1262,20 to 29,807,Female,2035,91914
1263,30 to 39,1150,Female,2035,91914
1264,40 to 49,1823,Female,2035,91914
1265,50 to 59,1481,Female,2035,91914
1266,60 to 69,1344,Female,2035,91914
1267,70 to 79,1048,Female,2035,91914
